Rank,EWC,ENC,Country,Player,,,,Brazil,Greece,? #6,? #7,? #8,? #9,? #10,
1,,(#1),Australia,AR_Mudda,1000(#1),1000(#1),24(#41),,,,,,,,2024
2,,(#2),France,WosileTM,64(#17),20(#45),1000(#1),,,,,,,,1084
3,,(#3),Germany,GranaDy.,600(#3),64(#18),200(#7),,,,,,,,864
4,,,France,Binkss.,700(#2),100(#8),10(#55),,,,,,,,810
5,,,France,Nayko.TM,92(#10),700(#2),18(#48),,,,,,,,810
6,,,Germany,MASSA_,400(#5),6(#59),400(#5),,,,,,,,806
7,,,France,BrenTM,48(#25),48(#25),700(#2),,,,,,,,796
8,,(#4),United Kingdom,Epos.,44(#28),400(#5),300(#6),,,,,,,,744
9,,,France,Otaaaq,2(#64),72(#15),600(#3),,,,,,,,674
10,,,France,XerarTM,20(#46),600(#3),52(#23),,,,,,,,672
11,,(#5),Canada,CarlJr.,80(#13),500(#4),52(#24),,,,,,,,632
12,,(#6),Belgium,Scrapie98,26(#39),56(#22),500(#4),,,,,,,,582
13,,,France,Gwenn.,500(#4),8(#57),68(#16),,,,,,,,576
14,,,France,Heav.3Y,300(#6),68(#16),64(#18),,,,,,,,432
15,,,France,Legu18,36(#31),300(#6),60(#19),,,,,,,,396
16,,,United Kingdom,josh1248,24(#42),200(#7),76(#14),,,,,,,,300
17,,(#7),Hungary,pusztitopako,88(#11),84(#12),92(#10),,,,,,,,264
18,,,United Kingdom,Whizzy..,200(#7),24(#41),12(#54),,,,,,,,236
19,,,United Kingdom,jdon.,100(#8),26(#39),84(#12),,,,,,,,210
20,,,France,Cocow_,76(#14),22(#43),72(#15),,,,,,,,170
21,,,United Kingdom,PacTM,18(#48),44(#27),96(#9),,,,,,,,158
22,,,France,Snow.qlf,56(#22),60(#19),40(#30),,,,,,,,156
23,,(#8),Switzerland,AffiTM,72(#15),76(#14),6(#60),,,,,,,,154
24,,(#9),Czechia,eLconn21,56(#21),88(#11),8(#57),,,,,,,,152
25,,(#10),Croatia,Razii.,52(#24),40(#30),56(#21),,,,,,,,148
26,,,Belgium,Soulja...,68(#16),30(#35),48(#25),,,,,,,,146
27,,(#11),Poland,RotakeR.,22(#43),96(#9),22(#43),,,,,,,,140
28,,,Germany,Letzter_,84(#12),28(#37),22(#44),,,,,,,,134
29,,,France,Melioo.-,20(#45),12(#54),100(#8),,,,,,,,132
30,,,France,Azion.,30(#36),92(#10),8(#58),,,,,,,,130
31,,(#12),Colombia,charles-..,40(#30),52(#24),36(#31),,,,,,,,128
32,,,France,WorkerTM,32(#33),56(#21),30(#35),,,,,,,,118
33,,,Poland,mime-,40(#29),44(#28),32(#33),,,,,,,,116
34,,,France,Glast.BS,60(#20),52(#23),2(#64),,,,,,,,114
35,,,Belgium,Eria-.,22(#44),,88(#11),,,,,,,,110
36,,(#13),Netherlands,Spammiej,64(#18),,40(#29),,,,,,,,104
37,,,Czechia,Hyll-TM,60(#19),,44(#27),,,,,,,,104
38,,(#14),Russia,NiTech91,6(#59),64(#17),28(#37),,,,,,,,98
39,,,Netherlands,Stufts.,96(#9),,,,,,,,,,96
40,,(#15),Slovenia,Jann.-,16(#50),80(#13),,,,,,,,,96
41,,(#16),New Zealand,J_Swag,12(#54),20(#46),60(#20),,,,,,,,92
42,,,Germany,NuPrime_TM,,10(#55),80(#13),,,,,,,,90
43,,,Slovakia,tweenTM,44(#27),32(#34),4(#62),,,,,,,,80
44,,,Canada,L1ngotm,10(#56),14(#51),56(#22),,,,,,,,80
45,,,United States,FlimsyTM,16(#49),24(#42),32(#34),,,,,,,,72
46,,,Türkiye,Cemkoo,52(#23),16(#50),,,,,,,,,68
47,,,France,Tjalic.BS,32(#34),36(#31),,,,,,,,,68
48,,,Portugal,Yekcosdo,28(#38),,36(#32),,,,,,,,64
49,,,Türkiye,BirdieTM,,40(#29),24(#42),,,,,,,,64
50,,,France,tricky-.,,,64(#17),,,,,,,,64
51,,,Poland,Evon-,,48(#26),14(#52),,,,,,,,62
52,,,Sweden,Molle_.,,60(#20),,,,,,,,,60
53,,,Poland,neon.09,30(#35),18(#47),4(#61),,,,,,,,52
54,,,Germany,Dog..,24(#41),28(#38),,,,,,,,,52
55,,,Germany,JanTM-,,36(#32),14(#51),,,,,,,,50
56,,,Argentina,noiszia,48(#26),,,,,,,,,,48
57,,,France,Dionysos.TM.,4(#61),,44(#28),,,,,,,,48
58,,,France,MimoJr.,,,48(#26),,,,,,,,48
59,,,Czechia,bestie77,14(#51),32(#33),,,,,,,,,46
60,,,United States,neal..,12(#53),30(#36),,,,,,,,,42
61,,,Poland,Magorian0212,28(#37),10(#56),2(#63),,,,,,,,40
62,,,Germany,Mobbi._.,26(#40),14(#52),,,,,,,,,40
63,,,Türkiye,HusoTM,36(#32),,,,,,,,,,36
64,,,France,Richie1308,,,30(#36),,,,,,,,30
65,,,Poland,Tomczan.,,,28(#38),,,,,,,,28
66,,,Norway,Cinxsss,,26(#40),,,,,,,,,26
67,,,France,Haedra.,,,26(#39),,,,,,,,26
68,,,France,Tona.,,,26(#40),,,,,,,,26
69,,,Slovakia,raizo_O,,22(#44),,,,,,,,,22
70,,,Portugal,Pika.2s,,,20(#45),,,,,,,,20
71,,,Portugal,PauLL__,,,20(#46),,,,,,,,20
72,,,Germany,purple_tm,18(#47),,,,,,,,,,18
73,,,France,Panda.TM.,8(#57),,10(#56),,,,,,,,18
74,,,Poland,keyTM,,18(#48),,,,,,,,,18
75,,,Italy,AwayFridish,,,18(#47),,,,,,,,18
76,,,Germany,oNioTM,,16(#49),,,,,,,,,16
77,,,Italy,Kurisu-tina_,,,16(#49),,,,,,,,16
78,,,Germany,BarbosTM,,,16(#50),,,,,,,,16
79,,,France,FeedTM,14(#52),,,,,,,,,,14
80,,,Poland,Narcorek,,8(#58),6(#59),,,,,,,,14
81,,,United States,Liquid.v2,,12(#53),,,,,,,,,12
82,,,Sweden,Brinkenn,,,12(#53),,,,,,,,12
83,,,Morocco,ender---,10(#55),,,,,,,,,,10
84,,,France,EnerValencia,8(#58),,,,,,,,,,8
85,,,Netherlands,Javzo,6(#60),,,,,,,,,,6
86,,,France,chamow,,6(#60),,,,,,,,,6
87,,,India,Spark.__.,4(#62),,,,,,,,,,4
88,,,Norway,Intax,,4(#61),,,,,,,,,4
89,,,United States,Kakne..,,4(#62),,,,,,,,,4
